date,team_a,team_b,goals_a,goals_b,form_a,form_b,avg_goals_scored_a,avg_goals_conceded_a,avg_goals_scored_b,avg_goals_conceded_b,gd_form_a,gd_form_b,h2h_winner_a
2023-09-01,Rytíři Kladno,HC Motor České Budějovice,2,2,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-01,HC Kometa Brno,HC Dynamo Pardubice,2,4,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-01,Bílí Tygři Liberec,HC Litvínov,4,0,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-01,HC Sparta Praha,HC Vítkovice Ridera,5,3,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-01,HC Oceláři Třinec,Rytíři Kladno,3,1,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-01,BK Mladá Boleslav,HC Energie Karlovy Vary,3,5,0.5,0.5,2.5,2.5,2.5,2.5,0.0,0.0,0.5
2023-09-02,HC Sparta Praha,HC Motor České Budějovice,5,1,1.0,0.5,5.0,3.0,2.0,2.0,2.0,0.0,0.5
2023-09-02,HC Dynamo Pardubice,HC Litvínov,3,0,1.0,0.0,4.0,2.0,0.0,4.0,2.0,-4.0,0.5
2023-09-02,HC Dynamo Pardubice,Bílí Tygři Liberec,1,4,1.0,1.0,4.0,2.0,4.0,0.0,2.0,4.0,0.5
2023-09-02,HC Sparta Praha,HC Kometa Brno,2,2,1.0,0.0,5.0,3.0,2.0,4.0,2.0,-2.0,0.5
2023-09-02,Bílí Tygři Liberec,HC Dynamo Pardubice,2,3,1.0,1.0,4.0,0.0,4.0,2.0,4.0,2.0,0.5
2023-09-02,BK Mladá Boleslav,HC Energie Karlovy Vary,2,1,0.0,1.0,3.0,5.0,5.0,3.0,-2.0,2.0,0.0
2023-09-03,HC Škoda Plzeň,HC Oceláři Třinec,4,3,0.5,1.0,2.5,2.5,3.0,1.0,0.0,2.0,0.5
2023-09-03,BK Mladá Boleslav,HC Oceláři Třinec,3,4,0.5,1.0,2.5,3.0,3.0,1.0,-0.5,2.0,0.5
2023-09-03,HC Vítkovice Ridera,HC Motor České Budějovice,2,2,0.0,0.25,3.0,5.0,1.5,3.5,-2.0,-2.0,0.5
2023-09-03,HC Vítkovice Ridera,HC Olomouc,4,4,0.0,0.5,3.0,5.0,2.5,2.5,-2.0,0.0,0.5
2023-09-03,Mountfield HK,Bílí Tygři Liberec,6,3,0.5,0.6666666666666666,2.5,2.5,3.3333333333333335,1.3333333333333333,0.0,2.0,0.5
2023-09-03,Mountfield HK,HC Oceláři Třinec,5,4,0.5,1.0,2.5,2.5,3.0,1.0,0.0,2.0,0.5
2023-09-04,HC Dynamo Pardubice,HC Kometa Brno,1,1,0.75,0.25,2.75,2.0,2.0,3.0,0.75,-1.0,1.0
2023-09-04,HC Litvínov,HC Olomouc,0,2,0.0,0.5,0.0,3.5,4.0,4.0,-3.5,0.0,0.5
2023-09-04,Bílí Tygři Liberec,HC Dynamo Pardubice,7,3,0.5,0.75,3.25,2.5,2.75,2.0,0.75,0.75,0.5
2023-09-04,HC Kometa Brno,HC Energie Karlovy Vary,2,1,0.25,0.5,2.0,3.0,3.0,2.5,-1.0,0.5,0.5
2023-09-04,HC Olomouc,Mountfield HK,0,1,0.5,1.0,4.0,4.0,5.5,3.5,0.0,2.0,0.5
2023-09-04,HC Motor České Budějovice,HC Oceláři Třinec,1,7,0.3333333333333333,0.5,1.6666666666666667,3.0,3.5,3.25,-1.3333333333333333,0.25,0.5
2023-09-05,Rytíři Kladno,HC Olomouc,2,4,0.25,0.5,1.5,2.5,2.0,1.6666666666666667,-1.0,0.3333333333333333,0.5
2023-09-05,HC Motor České Budějovice,BK Mladá Boleslav,2,1,0.25,0.3333333333333333,1.5,4.0,2.6666666666666665,3.3333333333333335,-2.5,-0.6666666666666666,0.5
2023-09-05,Bílí Tygři Liberec,Mountfield HK,3,5,0.6,1.0,4.0,2.6,4.0,2.3333333333333335,1.4,1.6666666666666667,0.0
2023-09-05,HC Dynamo Pardubice,Rytíři Kladno,4,2,0.5833333333333334,0.25,2.5,2.6666666666666665,1.5,2.5,-0.16666666666666666,-1.0,0.5
2023-09-05,HC Oceláři Třinec,HC Škoda Plzeň,5,6,0.6,1.0,4.2,2.8,4.0,3.0,1.4,1.0,0.0
2023-09-05,HC Olomouc,HC Litvínov,1,3,0.5,0.0,2.0,1.6666666666666667,0.0,3.0,0.3333333333333333,-3.0,1.0
2023-09-06,HC Olomouc,HC Motor České Budějovice,4,2,0.5,0.4,2.2,2.0,1.6,3.4,0.2,-1.8,0.5
2023-09-06,HC Dynamo Pardubice,HC Škoda Plzeň,5,2,0.6428571428571429,1.0,2.7142857142857144,2.5714285714285716,5.0,4.0,0.14285714285714285,1.0,0.5
2023-09-06,BK Mladá Boleslav,HC Litvínov,0,4,0.25,0.25,2.25,3.0,0.75,2.5,-0.75,-1.75,0.5
2023-09-06,HC Energie Karlovy Vary,HC Sparta Praha,3,1,0.3333333333333333,0.8333333333333334,2.3333333333333335,2.3333333333333335,4.0,2.0,0.0,2.0,0.5
2023-09-06,HC Škoda Plzeň,HC Sparta Praha,7,1,1.0,0.8333333333333334,5.0,4.0,4.0,2.0,1.0,2.0,0.5
2023-09-06,HC Oceláři Třinec,HC Litvínov,6,4,0.5,0.25,4.333333333333333,3.3333333333333335,0.75,2.5,1.0,-1.75,0.5
2023-09-07,Bílí Tygři Liberec,HC Dynamo Pardubice,3,3,0.5,0.6875,3.8333333333333335,3.0,3.0,2.5,0.8333333333333334,0.5,0.6666666666666666
2023-09-07,Bílí Tygři Liberec,HC Oceláři Třinec,5,5,0.5,0.5714285714285714,3.8333333333333335,3.0,4.571428571428571,3.4285714285714284,0.8333333333333334,1.1428571428571428,0.5
2023-09-07,HC Energie Karlovy Vary,BK Mladá Boleslav,4,1,0.5,0.2,2.5,2.0,1.8,3.2,0.5,-1.4,0.5
2023-09-07,HC Olomouc,HC Škoda Plzeň,3,2,0.5833333333333334,0.75,2.5,2.0,4.75,3.5,0.5,1.25,0.5
2023-09-07,HC Kometa Brno,HC Dynamo Pardubice,4,4,0.5,0.6875,1.75,2.0,3.0,2.5,-0.25,0.5,0.25
2023-09-07,HC Kometa Brno,HC Litvínov,2,2,0.5,0.3333333333333333,1.75,2.0,1.8333333333333333,2.6666666666666665,-0.25,-0.8333333333333334,0.5
2023-09-08,Rytíři Kladno,HC Kometa Brno,2,4,0.125,0.5,1.75,3.25,2.1666666666666665,2.3333333333333335,-1.5,-0.16666666666666666,0.5
2023-09-08,HC Motor České Budějovice,HC Kometa Brno,3,5,0.3333333333333333,0.5,1.6666666666666667,3.5,2.1666666666666665,2.3333333333333335,-1.8333333333333333,-0.16666666666666666,0.5
2023-09-08,HC Energie Karlovy Vary,HC Dynamo Pardubice,5,3,0.6,0.65,2.8,1.8,3.1,2.7,1.0,0.4,0.5
2023-09-08,BK Mladá Boleslav,HC Škoda Plzeň,8,4,0.16666666666666666,0.6,1.6666666666666667,3.3333333333333335,4.2,3.4,-1.6666666666666667,0.8,0.5
2023-09-08,HC Dynamo Pardubice,HC Kometa Brno,4,4,0.65,0.5,3.1,2.7,2.1666666666666665,2.3333333333333335,0.4,-0.16666666666666666,0.6666666666666666
2023-09-08,HC Dynamo Pardubice,HC Energie Karlovy Vary,2,2,0.65,0.6,3.1,2.7,2.8,1.8,0.4,1.0,0.5
2023-09-09,HC Oceláři Třinec,HC Kometa Brno,6,4,0.5625,0.6111111111111112,4.625,3.625,2.888888888888889,2.5555555555555554,1.0,0.3333333333333333,0.5
2023-09-09,Mountfield HK,HC Dynamo Pardubice,1,4,1.0,0.55,4.25,2.5,3.2,3.2,1.75,0.0,0.5
2023-09-09,HC Škoda Plzeň,Rytíři Kladno,1,3,0.5,0.1,4.166666666666667,4.166666666666667,1.8,3.4,0.0,-1.6,0.5
2023-09-09,HC Energie Karlovy Vary,HC Škoda Plzeň,2,2,0.6428571428571429,0.5,3.0,2.0,4.166666666666667,4.166666666666667,1.0,0.0,0.5
2023-09-09,HC Olomouc,Bílí Tygři Liberec,0,3,0.6428571428571429,0.5,2.5714285714285716,2.0,3.875,3.25,0.5714285714285714,0.625,0.5
2023-09-09,HC Oceláři Třinec,HC Energie Karlovy Vary,5,2,0.5625,0.6428571428571429,4.625,3.625,3.0,2.0,1.0,1.0,0.5
2023-09-10,HC Kometa Brno,HC Dynamo Pardubice,4,3,0.55,0.55,3.0,2.9,3.3,3.1,0.1,0.2,0.375
2023-09-10,HC Litvínov,HC Vítkovice Ridera,2,5,0.35714285714285715,0.3333333333333333,1.8571428571428572,2.5714285714285716,3.0,3.6666666666666665,-0.7142857142857143,-0.6666666666666666,0.5
2023-09-10,HC Energie Karlovy Vary,HC Olomouc,4,3,0.5555555555555556,0.5625,2.7777777777777777,2.3333333333333335,2.25,2.125,0.4444444444444444,0.125,0.5
2023-09-10,HC Dynamo Pardubice,Rytíři Kladno,4,0,0.55,0.25,3.3,3.1,2.0,3.0,0.2,-1.0,1.0
2023-09-10,HC Sparta Praha,HC Olomouc,3,1,0.5,0.5625,2.8,3.2,2.25,2.125,-0.4,0.125,0.5
2023-09-10,HC Sparta Praha,HC Litvínov,3,2,0.5,0.35714285714285715,2.8,3.2,1.8571428571428572,2.5714285714285716,-0.4,-0.7142857142857143,0.5
2023-09-11,HC Energie Karlovy Vary,HC Litvínov,2,1,0.6,0.2777777777777778,2.9,2.4,1.8888888888888888,2.888888888888889,0.5,-1.0,0.5
2023-09-11,HC Litvínov,HC Kometa Brno,0,2,0.2777777777777778,0.65,1.8888888888888888,2.888888888888889,3.2,2.8,-1.0,0.4,0.5
2023-09-11,HC Kometa Brno,HC Litvínov,4,2,0.65,0.2777777777777778,3.2,2.8,1.8888888888888888,2.888888888888889,0.4,-1.0,0.5
2023-09-11,HC Škoda Plzeň,BK Mladá Boleslav,3,5,0.4375,0.2857142857142857,3.5,3.75,2.5714285714285716,3.4285714285714284,-0.25,-0.8571428571428571,0.0
2023-09-11,HC Škoda Plzeň,BK Mladá Boleslav,1,1,0.4375,0.2857142857142857,3.5,3.75,2.5714285714285716,3.4285714285714284,-0.25,-0.8571428571428571,0.0
2023-09-11,HC Litvínov,HC Energie Karlovy Vary,3,3,0.2777777777777778,0.6,1.8888888888888888,2.888888888888889,2.9,2.4,-1.0,0.5,0.5
